,Zipcode,Latitude,Longitude
0,36310,31.5852054,-85.2308414
1,35005,33.6047446,-87.0424393
2,35060,33.5587029,-86.9311104
3,35062,33.6941622,-87.0424393
4,35073,33.6589518,-86.9724198
5,35118,33.549053,-87.0524338
6,35214,33.5675257,-86.8922723
7,35224,33.5297328,-86.94738799999999
8,35540,34.2316821,-87.1622344
9,35006,33.4293457,-87.20209899999999
10,35441,32.8561072,-87.7566513
11,35007,33.2288218,-86.7919009
12,35040,33.1034486,-86.72151749999999
13,35080,33.2543052,-86.91232169999999
14,35114,33.2308594,-86.87221459999999
15,35115,33.1075575,-86.8822445
16,35124,33.2956275,-86.7718017
17,35137,33.2076546,-86.7828414
18,35144,33.24,-86.8199999
19,36720,32.15793800000001,-87.3314264
20,35950,34.2512489,-86.2361744
21,35951,34.3387367,-86.1955169
22,35957,34.1636556,-86.2767995
23,35976,34.3424511,-86.317392
24,35010,32.94464350000001,-85.9100089
25,35089,32.9498673,-86.0733498
26,36861,32.896939,-85.8281458
27,36250,33.7620896,-85.899783
28,36265,33.8363538,-85.78716630000001
29,36279,33.873569,-85.899783
30,35442,33.0210567,-88.2071598
31,35013,33.91364,-86.5090901
32,35121,33.9459806,-86.438974
33,35014,33.4051137,-86.2767995
34,35015,33.5793239,-86.6376926
35,35952,34.0314651,-86.317392
36,36420,31.1939511,-86.5602614
37,36421,31.3746316,-86.4794359
38,35610,34.9415247,-87.2419299
39,36721,32.05,-87.5699999
40,36201,33.6619818,-85.9100089
41,36202,33.6584621,-85.82648929999999
42,36203,33.5807136,-85.81790389999999
43,36204,33.6853017,-85.8231198
44,36205,33.708276,-85.7922905
45,36206,33.715413,-85.83838569999999
46,36207,33.656468,-85.7461548
47,36254,33.6597132,-85.7036681
48,36257,33.6265471,-85.7517214
49,35016,34.3483541,-86.51986509999999
50,35739,34.963557,-86.7919009
51,36311,31.5791984,-85.7051116
52,35541,34.0765018,-87.1821709
53,36722,32.0718946,-87.5692461
54,36312,31.1524625,-85.2515482
55,36251,33.2360286,-85.8895551
56,35953,33.8495908,-86.1955169
57,35987,33.9291398,-86.2463337
58,35611,34.761354,-87.0824045
59,35612,34.7956392,-86.96421869999999
60,35613,34.8005575,-86.8822445
61,35614,34.8613689,-87.1123564
62,35671,34.6700684,-86.96240859999999
63,35756,34.6228095,-86.8421125
64,36502,31.101077,-87.5000082
65,36503,31.13,-87.47
66,36504,31.0323894,-87.4933616
67,35954,34.0252291,-86.1141045
68,36801,32.7008882,-85.37562489999999
69,36804,32.564021,-85.3342973
70,36830,32.4796915,-85.49941919999999
71,36831,32.52,-85.47999999999999
72,36832,32.5729402,-85.58179109999999
73,36849,32.5909562,-85.49297849999999
74,36879,32.7519265,-85.5406209
75,36849,32.5909562,-85.49297849999999
76,36003,32.42791330000001,-86.761749
77,36067,32.4446644,-86.5400674
78,36505,30.9491662,-87.9922684
79,35019,34.2965384,-86.65103289999999
80,35083,34.2060676,-86.59053709999999
81,35087,34.3170639,-86.59053709999999
82,36005,31.8757022,-85.7256372
83,36081,31.9031543,-85.8690933
84,35542,33.6966952,-87.68769689999999
85,36507,30.9220263,-87.7369607
86,36509,30.4069515,-88.26071879999999
87,36523,30.3652254,-88.1584129
88,36544,30.4928762,-88.22664340000001
89,35543,34.2326601,-87.74680710000001
90,35564,34.2453583,-87.8353278
91,35565,34.2628015,-87.5791287
92,35581,34.3320545,-87.7172616
93,36425,31.75645369999999,-87.1622344
94,35544,33.9370343,-88.0314174
95,35545,33.6436281,-87.93293849999999
96,35555,33.6431187,-87.8156715
97,35574,33.578339,-87.9530849
98,35470,32.5662435,-87.97268100000001
99,36901,32.4220013,-88.1584129
100,35615,34.656972,-86.8794911
101,36313,31.1668017,-85.78844740000001
102,35546,33.638732,-87.5791287
103,35020,33.389869,-86.9523954
104,35021,33.3946166,-86.9615714
105,35022,33.2891965,-86.96240859999999
106,35023,33.4704596,-87.0424393
107,35111,33.2920602,-87.0824045
108,35211,33.449373,-86.8671989
109,35226,33.4092779,-86.8320743
110,35244,33.3639393,-86.8119917
111,36006,32.6528991,-86.72151749999999
112,35005,33.6047446,-87.0424393
113,35020,33.389869,-86.9523954
114,35022,33.2891965,-86.96240859999999
115,35023,33.4704596,-87.0424393
116,35061,33.4710248,-86.94989179999999
117,35064,33.4730218,-86.9173327
118,35068,33.6107373,-86.8320743
119,35094,33.5143076,-86.5703554
120,35117,33.6793182,-86.8922723
121,35118,33.549053,-87.0524338
122,35127,33.4968883,-86.97742459999999
123,35130,33.6075398,-87.1622344
124,35173,33.6370355,-86.5602614
125,35201,33.52,-86.8
126,35202,33.52,-86.8
127,35203,33.5178769,-86.8094808
128,35204,33.5269755,-86.8370937
129,35205,33.489895,-86.8094808
130,35206,33.5685966,-86.7164863
131,35207,33.5714699,-86.8270545
132,35208,33.5053544,-86.8671989
133,35209,33.4702383,-86.80696979999999
134,35210,33.5394261,-86.67118169999999
135,35211,33.449373,-86.8671989
136,35212,33.54728170000001,-86.7567219
137,35213,33.5022594,-86.74666610000001
138,35214,33.5675257,-86.8922723
139,35215,33.6523096,-86.7114545
140,35217,33.586822,-86.7718017
141,35218,33.5061087,-86.8972854
142,35219,33.4855486,-86.81462479999999
143,35220,33.65,-86.67999999999999
144,35221,33.4501267,-86.8972854
145,35222,33.5251664,-86.7667756
146,35223,33.4796083,-86.73660819999999
147,35224,33.5297328,-86.94738799999999
148,35226,33.4092779,-86.8320743
149,35228,33.4480108,-86.9248483
150,35229,33.4412139,-86.8490126
151,35231,33.56,-86.89999999999999
152,35232,33.54,-86.75999999999999
153,35233,33.5118197,-86.8011326
154,35234,33.5373948,-86.80696979999999
155,35235,33.6226176,-86.64599439999999
156,35236,33.37,-86.81
157,35237,33.52,-86.81
158,35238,33.4133786,-86.67514179999999
159,35242,33.4165524,-86.681253
160,35243,33.4514846,-86.7315785
161,35246,33.52,-86.8
162,35249,33.5123813,-86.8956738
163,35253,33.4799999,-86.77
164,35254,33.5199899,-86.8512078
165,35255,33.4999983,-86.8000045
166,35259,33.4798536,-86.7898345
167,35260,33.4139734,-86.84437989999999
168,35261,33.58,-86.7
169,35266,33.44,-86.78999999999999
170,35282,33.52,-86.8
171,35283,33.52,-86.8
172,35285,33.5163002,-86.8216018
173,35287,33.52,-86.8
174,35288,33.46,-86.81
175,35290,33.52,-86.8
176,35291,33.52,-86.8
177,35292,33.52,-86.8
178,35293,33.4656609,-86.8275194
179,35294,33.5075555,-86.8093239
180,35295,33.5124035,-86.8043576
181,35296,33.52,-86.8
182,35297,33.52,-86.8
183,35298,33.52,-86.8
184,36314,31.0219901,-85.77691639999999
185,35031,34.0829723,-86.5602614
186,35950,34.2512489,-86.2361744
187,35956,34.1586286,-86.1141045
188,35957,34.1636556,-86.2767995
189,35443,32.7710882,-88.0705319
190,35032,33.2632143,-86.33450719999999
191,35044,33.2620931,-86.3680869
192,35150,33.173129,-86.2516271
193,36511,30.3070273,-87.7517295
194,36535,30.3928623,-87.7172616
195,36008,32.497615,-86.5640469
196,36720,32.15793800000001,-87.3314264
197,36723,32.0623744,-87.30782579999999
